time_id,year,month,dayweek,hour
199,2015,8,Saturday,20.0
200,2015,8,Monday,0.0
201,2015,8,Monday,19.0
202,2015,8,Thursday,1.0
203,2015,8,Saturday,15.0
204,2015,8,Saturday,13.0
205,2015,8,Sunday,8.0
206,2015,8,Saturday,11.0
207,2015,8,Sunday,13.0
208,2015,8,Sunday,11.0
209,2015,8,Sunday,14.0
210,2015,8,Sunday,9.0
211,2015,8,Sunday,15.0
212,2015,8,Wednesday,6.0
213,2015,8,Friday,15.0
214,2015,8,Friday,10.0
215,2015,8,Friday,18.0
216,2015,8,Thursday,21.0
217,2015,8,Tuesday,11.0
218,2015,8,Thursday,9.0
219,2015,8,Monday,7.0
220,2015,8,Friday,9.0
221,2015,8,Monday,16.0
222,2015,8,Sunday,18.0
223,2015,8,Saturday,22.0
224,2015,8,Sunday,2.0
225,2015,8,Friday,14.0
226,2015,8,Tuesday,14.0
227,2015,8,Monday,12.0
228,2015,8,Tuesday,16.0
229,2015,8,Tuesday,15.0
230,2015,8,Thursday,17.0
231,2024,4,Sunday,2.0
232,2024,4,Thursday,12.0
233,2024,4,Friday,18.0
234,2024,4,Friday,13.0
235,2024,4,Monday,14.0
236,2024,4,Monday,16.0
237,2024,4,Tuesday,4.0
238,2024,4,Tuesday,19.0
239,2024,4,Tuesday,21.0
240,2024,4,Tuesday,15.0
241,2024,4,Saturday,2.0
242,2024,4,Thursday,11.0
243,2024,4,Saturday,8.0
244,2024,4,Thursday,2.0
245,2024,4,Sunday,0.0
246,2024,4,Monday,4.0
247,2024,4,Wednesday,12.0
248,2024,4,Saturday,19.0
249,2024,4,Saturday,9.0
250,2024,4,Sunday,22.0
251,2024,4,Sunday,21.0
252,2024,4,Thursday,18.0
253,2024,4,Tuesday,10.0
254,2024,4,Monday,13.0
255,2024,4,Sunday,9.0
256,2024,4,Monday,19.0
257,2024,4,Saturday,7.0
258,2024,4,Friday,3.0
259,2024,4,Thursday,15.0
260,2023,3,Friday,5.0
261,2023,3,Thursday,12.0
262,2023,3,Tuesday,8.0
263,2023,3,Monday,11.0
264,2023,3,Tuesday,20.0
265,2023,3,Saturday,6.0
266,2023,3,Monday,19.0
267,2023,3,Monday,10.0
268,2023,3,Thursday,21.0
269,2023,3,Sunday,15.0
270,2023,3,Saturday,9.0
271,2023,3,Tuesday,12.0
272,2023,3,Thursday,23.0
273,2023,3,Wednesday,14.0
274,2023,3,Saturday,13.0
275,2023,3,Sunday,18.0
276,2023,3,Friday,13.0
277,2023,3,Saturday,21.0
278,2023,3,Friday,15.0
279,2023,3,Friday,19.0
280,2023,3,Friday,17.0
281,2023,3,Wednesday,16.0
282,2023,3,Wednesday,19.0
283,2023,3,Wednesday,6.0
284,2019,1,Sunday,18.0
285,2019,1,Saturday,0.0
286,2019,1,Tuesday,20.0
287,2019,1,Tuesday,4.0
288,2019,1,Wednesday,19.0
289,2019,1,Thursday,0.0
290,2019,1,Monday,20.0
291,2019,1,Wednesday,22.0
292,2019,1,Tuesday,2.0
293,2019,1,Saturday,9.0
294,2019,1,Sunday,11.0
295,2019,1,Sunday,17.0
296,2019,1,Saturday,14.0
297,2019,1,Saturday,6.0
298,2019,1,Saturday,7.0
299,2019,1,Sunday,6.0
300,2019,1,Saturday,12.0
301,2019,1,Wednesday,11.0
302,2019,1,Wednesday,13.0
303,2019,1,Friday,23.0
304,2019,1,Thursday,13.0
305,2019,1,Monday,17.0
306,2019,1,Thursday,7.0
307,2019,1,Wednesday,17.0
308,2019,1,Tuesday,13.0
309,2019,1,Thursday,17.0
310,2019,1,Monday,11.0
311,2019,1,Friday,7.0
312,2019,1,Tuesday,12.0
313,2019,1,Tuesday,14.0
314,2019,1,Thursday,14.0
315,2017,12,Thursday,23.0
316,2017,12,Friday,11.0
317,2017,12,Friday,19.0
318,2017,12,Saturday,19.0
319,2017,12,Friday,18.0
320,2017,12,Saturday,5.0
321,2017,12,Saturday,2.0
322,2017,12,Saturday,20.0
323,2017,12,Thursday,8.0
324,2017,12,Tuesday,10.0
325,2017,12,Friday,17.0
326,2017,12,Monday,15.0
327,2017,12,Monday,6.0
328,2017,12,Thursday,11.0
329,2017,12,Tuesday,17.0
330,2017,12,Tuesday,16.0
331,2017,12,Saturday,22.0
332,2017,12,Sunday,20.0
333,2017,12,Tuesday,4.0
334,2017,12,Tuesday,22.0
335,2017,12,Thursday,22.0
336,2017,12,Saturday,11.0
337,2017,12,Saturday,14.0
338,2017,12,Sunday,14.0
339,2017,12,Sunday,11.0
340,2017,12,Monday,16.0
341,2017,12,Monday,10.0
342,2017,12,Thursday,12.0
343,2018,8,Friday,21.0
344,2018,8,Friday,19.0
345,2018,8,Monday,11.0
346,2018,8,Thursday,6.0
347,2018,8,Monday,17.0
348,2018,8,Friday,16.0
349,2018,8,Wednesday,13.0
350,2018,8,Friday,9.0
351,2018,8,Tuesday,15.0
352,2018,8,Tuesday,9.0
353,2018,8,Monday,10.0
354,2018,8,Friday,8.0
355,2018,8,Tuesday,10.0
356,2018,8,Friday,10.0
357,2018,8,Monday,16.0
358,2018,8,Friday,11.0
359,2018,8,Wednesday,11.0
360,2018,8,Sunday,18.0
361,2018,8,Saturday,18.0
362,2018,8,Thursday,4.0
363,2018,8,Tuesday,22.0
364,2018,8,Thursday,18.0
365,2018,8,Wednesday,18.0
366,2018,8,Monday,18.0
367,2018,8,Monday,19.0
368,2018,8,Thursday,22.0
369,2018,8,Tuesday,23.0
370,2018,8,Monday,21.0
371,2018,8,Sunday,15.0
372,2018,8,Sunday,14.0
373,2018,8,Sunday,11.0
374,2018,8,Tuesday,12.0
375,2018,8,Friday,17.0
376,2022,2,Sunday,20.0
377,2022,2,Friday,21.0
378,2022,2,Friday,0.0
379,2022,2,Wednesday,15.0
380,2022,2,Tuesday,6.0
381,2022,2,Thursday,14.0
382,2022,2,Tuesday,7.0
383,2022,2,Wednesday,9.0
384,2022,2,Saturday,8.0
385,2022,2,Tuesday,16.0
386,2022,2,Saturday,16.0
387,2022,2,Monday,1.0
388,2022,2,Thursday,12.0
389,2022,2,Friday,15.0
390,2022,2,Tuesday,11.0
391,2022,2,Saturday,23.0
392,2022,2,Sunday,0.0
393,2022,2,Sunday,12.0
394,2022,2,Wednesday,13.0
395,2022,2,Wednesday,4.0
396,2022,2,Monday,16.0
397,2022,2,Wednesday,23.0
398,2022,2,Wednesday,5.0
399,2022,2,Saturday,14.0
400,2022,2,Wednesday,1.0
401,2022,2,Friday,6.0
402,2022,2,Friday,22.0
403,2022,2,Friday,20.0
404,2022,2,Sunday,3.0
405,2022,2,Sunday,16.0
406,2022,2,Monday,3.0
407,2022,2,Sunday,21.0
408,2017,7,Saturday,21.0
409,2017,7,Saturday,13.0
410,2017,7,Wednesday,15.0
411,2017,7,Friday,19.0
412,2017,7,Wednesday,4.0
413,2017,7,Tuesday,14.0
414,2017,7,Thursday,9.0
415,2017,7,Tuesday,7.0
416,2017,7,Saturday,19.0
417,2017,7,Sunday,2.0
418,2017,7,Monday,11.0
419,2017,7,Monday,17.0
420,2017,7,Thursday,12.0
421,2017,7,Thursday,17.0
422,2017,7,Monday,7.0
423,2017,7,Monday,8.0
424,2017,7,Friday,15.0
425,2017,7,Tuesday,13.0
426,2017,7,Sunday,5.0
427,2017,7,Wednesday,18.0
428,2017,7,Tuesday,1.0
429,2017,7,Thursday,4.0
430,2017,7,Saturday,7.0
431,2017,7,Sunday,6.0
432,2017,7,Saturday,6.0
433,2017,7,Sunday,12.0
434,2017,7,Sunday,16.0
435,2017,7,Wednesday,13.0
436,2017,7,Tuesday,10.0
437,2017,7,Friday,8.0
438,2017,7,Monday,12.0
439,2017,5,Friday,8.0
440,2017,5,Tuesday,14.0
441,2017,5,Tuesday,12.0
442,2017,5,Saturday,14.0
443,2017,5,Saturday,12.0
444,2017,5,Sunday,12.0
445,2017,5,Tuesday,21.0
446,2017,5,Friday,3.0
447,2017,5,Thursday,4.0
448,2017,5,Saturday,3.0
449,2017,5,Monday,6.0
450,2017,5,Friday,14.0
451,2017,5,Thursday,6.0
452,2017,5,Tuesday,13.0
453,2017,5,Wednesday,7.0
454,2017,5,Friday,7.0
455,2017,5,Tuesday,10.0
456,2017,5,Thursday,14.0
457,2017,5,Thursday,10.0
458,2017,5,Thursday,17.0
459,2017,5,Saturday,18.0
460,2017,5,Saturday,17.0
461,2017,5,Tuesday,20.0
462,2017,5,Wednesday,18.0
463,2017,5,Sunday,5.0
464,2017,5,Sunday,22.0
465,2017,5,Sunday,0.0
466,2024,7,Tuesday,17.0
467,2024,7,Friday,22.0
468,2024,7,Monday,19.0
469,2024,7,Tuesday,16.0
470,2024,7,Sunday,14.0
